"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"33",1.02411909883905,1.02430140628847,0.999701339472783,0.984867483563165,0.970551740812221,0.97130400739132,0.974739117089866,0.98004248108632,0.987541676004732,1.00632286185513,1.01539600686229,1.02477951699211,1.03939134048142,1.03319788320895,1.01296320469232,1.03283771775649,1.05417815349544,1.06647650054145,1.07176546415494
"34",1.07383922307277,1.07372327264081,1.05823895059207,1.02655080434841,1.01961068972887,1.00923329721247,1.00240942353323,0.998565385035011,0.999874865524393,1.00927086659066,1.01655049973616,1.02449377901427,1.02774272294723,1.04526626558621,1.05475365264332,1.05588310453594,1.04759793410798,1.05114245475434,1.06658821757096
"35",1.08518552598872,1.08533373606063,1.08216833552366,1.06670534961689,1.06576233015966,1.05684334747354,1.04369466141109,1.02780305507934,1.02203922280157,1.02820353619017,1.02923789177178,1.03643471335951,1.03516552302486,1.04505284706931,1.05576367799219,1.02609339050675,1.0122993899771,1.02567760994241,1.04147327035479
"36",1.07140828782369,1.0718114986532,1.08369433817096,1.08243699781358,1.08639660663053,1.08375471013679,1.07771666145908,1.06946933952106,1.05557469548894,1.04325238374137,1.03588063786044,1.03498055555592,1.03720084071694,1.04055610491577,1.04090005378992,1.05908831103555,1.05404172269714,1.04529192103219,1.04475530353508
"37",1.02089923136382,1.021440738256,1.03367289933486,1.04819386396366,1.05676625968055,1.05155472746302,1.06527525155609,1.05929517046739,1.04045496424529,1.03383265749626,1.0162848316241,1.02445752724916,1.03215648421063,1.0272618246589,1.03019309992408,1.032357531299,1.02610021784866,1.02863599090722,1.03909388746141
"38",1.0186972918452,1.0193817612052,1.02446329581688,1.0318550574987,1.03849696546813,1.04550333429367,1.02776191747618,1.03851262328275,1.02759878747006,1.01193547393236,1.02809070924901,1.02874824439717,1.02131256282623,1.02651991730259,1.02308456386327,1.02541684215777,1.01936163623906,1.01679986847447,1.03004783522932
"39",0.969807580297268,0.970149549033589,0.975121589690704,0.987910224301236,0.999375323784692,1.01480858353894,1.01448273641985,1.02130709015839,1.0234054011363,1.02355834658918,1.02505167242689,1.03032211151911,1.01711615151655,1.02233707553899,1.02660189892571,1.02908573694856,1.04561983789297,1.03103162245098,1.02127956594344
"40",0.884083008741425,0.884396040991181,0.894481237885407,0.910996113749024,0.940379816203986,0.955593033589185,0.965247850763605,0.98252767575928,0.996260248540376,1.00946843288607,1.01076772739443,1.02201956572068,1.01613001211124,1.02066071654656,1.02495808804743,1.01921805737422,1.01793456626976,1.03308798858073,1.02640346532343
"41",0.967910460617501,0.968253511056955,0.966035752720998,0.954743478156151,0.954684012310883,0.959798069475665,0.967251838138847,0.975722015027428,0.958809361630805,0.966563123792224,0.977996881382436,0.988905941407974,0.993589902825164,0.99999116922649,1.0059248534515,1.01683220247128,1.01439190083039,1.02324193236366,1.01530634340545
"42",1.03918240603251,1.03961504648382,1.02548095998424,1.02186550611133,0.992652970297914,0.981617855812996,0.982220304447667,0.975004597836797,0.986880182159482,0.993716886937408,0.973887684749046,0.972813383891117,0.9850183766091,0.993654317024809,0.999464097323528,1.00272476092353,0.999832634615109,1.00621050398028,0.999184193236301
